,owner_id,title,category,price,city,created_at,deleted_at,id
0,15167,Loue F1,realestate,1403,Nantes,2017-04-25,,0
1,15515,Vends F3,REAL_ESTATE,431970,Thorens-Glières,2018-06-19,,1
2,16496,Vends F3,RealEstate,820380,La Madeleine-sur-Loing,2019-06-24,,2
3,1647,Recherche Maison,RealEstate,42499,Condren,2018-01-09,,3
4,10339,Loue Maison,realestate,933,Laval,2019-08-11,,4
5,28498,Recherche Appartement,realestate,266316,Preutin-Higny,2019-02-25,,5
6,29474,Loue Maison,realestate,816,Nantes,2017-09-27,,6
7,20522,Loue T2,REAL_ESTATE,1326,Varennes-sur-Usson,2017-11-26,,7
8,15586,Recherche F3,REAL_ESTATE,332959,Le Beausset,2019-04-21,,8
9,14379,Vends F1,realestate,569625,Ménil-sur-Belvitte,2017-05-07,,9
10,21164,Loue F3,RealEstate,801,Vichel-Nanteuil,2018-04-03,,10
11,7195,Loue F1,RealEstate,951,Laval,2018-05-19,,11
12,20579,Vends T3,realestate,356982,Le Merlerault,2019-11-07,,12
13,15649,Recherche T3,REAL_ESTATE,358205,Roberval,2017-12-05,,13
14,2604,Recherche Maison,RealEstate,519087,La Rixouse,2018-07-05,,14
15,2297,Recherche Chateau,RealEstate,247566,Le Pavillon-Sainte-Julie,2017-11-06,,15
16,13180,Recherche Appartement,REAL_ESTATE,341995,Laval,2019-05-21,,16
17,14693,Recherche T1,realestate,140981,Marseille,2018-04-04,,17
18,14847,Loue F2,realestate,267,Marseille,2018-04-16,,18
19,10271,Recherche T3,realestate,285326,Haut-Mauco,2019-12-11,,19
20,25901,Vends F1,REAL_ESTATE,640701,Marseille,2018-06-16,,20
21,26720,Recherche F1,realestate,233375,Laval,2019-05-10,,21
22,10663,Loue T2,relestate,1479,Maizery,2017-12-08,,22
23,18164,Loue F1,realestate,845,Nantes,2017-03-21,,23
24,16064,Vends F1,REAL_ESTATE,307442,Barchain,2017-06-16,,24
25,27938,Loue F1,REAL_ESTATE,548,Laval,2018-12-07,,25
26,3917,Loue Appartement,realestate,1283,Villedieu-le-Château,2017-07-15,,26
27,10677,Loue F1,RealEstate,966,Saou,2018-04-19,,27
28,25685,Loue Appartement,realestate,1500,Bozas,2018-05-22,,28
29,6378,Loue F3,RealEstate,1337,Nantes,2017-12-01,,29
30,13114,Recherche F1,REAL_ESTATE,216330,Oberlauterbach,2018-09-06,,30
31,453,Loue T2,REAL_ESTATE,1097,Laval,2018-01-23,,31
32,1951,Vends T1,REAL_ESTATE,323368,Laval,2017-09-23,,32
33,11598,Recherche Chateau,realestate,130589,Creutzwald,2019-07-04,,33
34,29801,Loue F3,RealEstate,955,Lavau,2018-11-14,,34
35,10277,Recherche F2,REAL_ESTATE,166739,Marseille,2019-04-19,,35
36,12473,Loue Maison,RealEstate,904,Marseille,2019-04-25,,36
37,14644,Vends T2,realestate,455102,Laval,2017-09-08,,37
38,8917,Recherche T2,realestate,333572,Nantes,2017-07-04,,38
39,4392,Loue Appartement,RealEstate,989,Nantes,2017-04-15,,39
40,14809,Recherche F2,RealEstate,288772,Marseille,2017-07-24,,40
41,5977,Loue Appartement,realestate,945,Laval,2019-05-13,,41
42,5440,Loue F2,REAL_ESTATE,660,Laval,2017-08-22,,42
43,3251,Loue T1,relestate,253,Marseille,2017-07-17,,43
44,10077,Recherche T3,RealEstate,214579,Camjac,2019-07-26,,44
45,19901,Recherche T3,realestate,239070,Laval,2017-04-10,,45
46,2593,Vends F3,realestate,345421,Messy,2018-06-14,,46
47,24929,Recherche T3,realestate,485185,Mimizan,2019-11-24,,47
48,14651,Vends T4,relestate,316536,Saint-Frégant,2018-02-06,,48
49,2128,Loue F1,REAL_ESTATE,904,Puy-Saint-Gulmier,2019-04-02,,49
50,11229,Recherche F2,realestate,270313,Laval,2019-04-24,,50
51,15137,Vends F2,realestate,1,Laval,2018-02-09,,51
52,16862,Loue F1,RealEstate,1064,Nantes,2017-12-18,,52
53,27569,Vends T1,REAL_ESTATE,738652,Saint-Julien-sur-Reyssouze,2018-01-12,,53
54,555,Loue F1,RealEstate,489,Laval,2019-11-13,,54
55,6923,Recherche F3,realestate,274880,Targon,2019-03-14,,55
56,21784,Vends Appartement,RealEstate,795595,Aumes,2018-12-17,,56
57,645,Vends Chateau,relestate,412979,Hautepierre-le-Châtelet,2018-05-02,,57
58,25387,Loue Appartement,relestate,1184,Marseille,2019-06-24,,58
59,4025,Loue Maison,realestate,1151,Orphin,2018-05-17,,59
60,7491,Recherche T2,relestate,292585,Boutavent,2018-03-24,,60
61,6923,Vends F3,realestate,459102,Targon,2018-09-14,,61
62,10138,Vends T1,realestate,423622,Lèves-et-Thoumeyragues,2019-04-10,,62
63,8741,Vends F2,realestate,627617,Marseille,2017-02-03,,63
64,6767,Recherche F3,REAL_ESTATE,348821,Bischheim,2017-07-01,,64
65,22573,Vends F3,realestate,614189,Saint-Mars-d'Outillé,2017-07-12,,65
66,1128,Vends F3,relestate,543210,Trenal,2017-11-03,,66
67,14382,Vends F1,realestate,727585,Laval,2018-10-07,,67
68,6405,Vends F1,relestate,339132,Laval,2018-09-22,,68
69,12707,Vends T1,RealEstate,637503,Nantes,2019-04-22,,69
70,20817,Loue Appartement,realestate,1512,Laval,2019-07-13,,70
71,21083,Recherche F1,realestate,409906,Nantes,2019-04-08,,71
72,23757,Loue T1,REAL_ESTATE,1328,Auriat,2019-05-10,,72
73,21326,Loue Appartement,realestate,545,Laval,2019-05-04,,73
74,11677,Recherche T3,realestate,436294,Nantes,2019-05-24,,74
75,19974,Recherche F1,realestate,405020,Laval,2019-07-04,,75
76,12760,Vends Chateau,REAL_ESTATE,456597,Laval,2019-07-26,,76
77,4730,Loue T1,RealEstate,831,Laval,2019-07-10,,77
78,23650,Vends T3,realestate,397571,Marseille,2019-04-27,,78
79,11484,Recherche F2,realestate,367442,Marseille,2017-07-17,,79
80,23722,Recherche Appartement,relestate,304464,Laval,2019-04-10,,80
81,8596,Loue T2,realestate,1521,Saint-André-en-Royans,2019-06-08,,81
82,15443,Loue Appartement,realestate,908,Marseille,2018-06-02,,82
83,8901,Vends F3,realestate,791791,Ougney-Douvot,2018-05-26,,83
84,13223,Recherche Appartement,realestate,308158,Marseille,2018-01-03,,84
85,24487,Vends F3,relestate,727484,Saint-Germain-sur-l'Arbresle,2018-09-11,,85
86,18879,Vends T4,realestate,302787,Laval,2018-01-24,,86
87,19214,Recherche Maison,REAL_ESTATE,463340,Monacia-d'Aullène,2017-01-11,,87
88,26641,Vends F1,REAL_ESTATE,424112,Époisses,2019-04-06,,88
89,4432,Loue F3,RealEstate,1128,Villefranche-sur-Saône,2019-09-16,,89
90,9651,Vends T3,realestate,501684,Nantes,2019-06-25,,90
91,3298,Recherche F2,realestate,412592,Laval,2018-12-23,,91
92,25747,Recherche F2,realestate,358566,Laval,2018-05-19,,92
93,4751,Recherche T1,REAL_ESTATE,244413,Nantes,2017-12-07,,93
94,29544,Vends F2,RealEstate,529514,Villy-le-Moutier,2018-12-19,,94
95,21366,Vends T3,realestate,740467,Laval,2018-06-26,,95
96,4315,Vends T1,REAL_ESTATE,368651,Nantes,2018-05-20,,96
97,26826,Recherche F1,RealEstate,321232,Nantes,2019-02-10,,97
98,6478,Vends Appartement,REAL_ESTATE,661933,Saint-Maurice-en-Chalencon,2019-12-02,,98
99,14287,Vends Appartement,realestate,434049,Annet-sur-Marne,2019-02-19,,99
100,16168,Vends F2,REAL_ESTATE,527569,Laval,2017-07-14,,100
101,13919,Recherche F2,REAL_ESTATE,221599,Saint-Astier,2017-04-26,,101
102,21309,Recherche F3,realestate,267671,Cap-d'Ail,2019-08-25,,102
